TREATMENTLINK,,,,/TREATMENTLINK
BOOK.NAME,TREATMENT.NAME,ACCOUNTING_INSTRUCTION.NAME,ID,
Treasury_SH_ACU,Bond FVOCI,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY_ACCY,Treasury_SH_ACU|Bond FVOCI|PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY_ACCY,
Treasury_SH_ACU,Bond Amortised Cost,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY (NI),Treasury_SH_ACU|Bond Amortised Cost|PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY (NI),
Treasury_SH_ACU,Bond Amortised Cost,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY_ACCY,Treasury_SH_ACU|Bond Amortised Cost|PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY_ACCY,
Treasury_SH_ACU,Bond Amortised Cost,Bond_MF_Daily Interest Accrual PL,Treasury_SH_ACU|Bond Amortised Cost|Bond_MF_Daily Interest Accrual PL,
Treasury_SH_ACU,Bond FVOCI,Bond_MF_Daily Interest Accrual PL,Treasury_SH_ACU|Bond FVOCI|Bond_MF_Daily Interest Accrual PL,
Treasury_SH_ACU,Borrowing,DepoLoan_MF_Trade Date Principal,Treasury_SH_ACU|Borrowing|DepoLoan_MF_Trade Date Principal,
Treasury_SH_ACU,Bond Issuance,Bond_MF_Daily Interest Accrual PL,Treasury_SH_ACU|Bond Issuance|Bond_MF_Daily Interest Accrual PL,
Treasury_SH_ACU,Bond Issuance,Bond_MF_Daily Interest Accrual PL_FCY (NI),Treasury_SH_ACU|Bond Issuance|Bond_MF_Daily Interest Accrual PL_FCY (NI),
Treasury_SH_ACU,Bond Issuance,Bond_MF_Daily Interest Accrual PL_FCY_ACCY,Treasury_SH_ACU|Bond Issuance|Bond_MF_Daily Interest Accrual PL_FCY_ACCY,
Treasury_SH_ACU,Bond Issuance,Bond_MF_Pay Date Settlement Principal,Treasury_SH_ACU|Bond Issuance|Bond_MF_Pay Date Settlement Principal,
Treasury_SH_ACU,Bond Issuance,Bond_MF_Pay Date Interest,Treasury_SH_ACU|Bond Issuance|Bond_MF_Pay Date Interest,
